SampleID,latrine,treatment,month-collected,year-collected,replicate,pcr-plate-16s,latrine_trt,latrine_trt_month,trt_month,soilAge,trt_soilAge,trt_month_soilAge
119,L80 ,control,wet,2023,1,2,L80_control,L80_control_wet,control_wet,rgm,control_rgm,control_wet_rgm
120,L80 ,control,wet,2023,2,2,L80_control,L80_control_wet,control_wet,rgm,control_rgm,control_wet_rgm
121,L80 ,latrine,wet,2023,1,2,L80_latrine,L80_latrine_wet,latrine_wet,rgm,latrine_rgm,latrine_wet_rgm
122,L80 ,latrine,wet,2023,2,2,L80_latrine,L80_latrine_wet,latrine_wet,rgm,latrine_rgm,latrine_wet_rgm
123,L79,control,wet,2023,1,2,L79_control,L79_control_wet,control_wet,rgm,control_rgm,control_wet_rgm
124,L79,control,wet,2023,2,2,L79_control,L79_control_wet,control_wet,rgm,control_rgm,control_wet_rgm
125,L79,latrine,wet,2023,1,2,L79_latrine,L79_latrine_wet,latrine_wet,rgm,latrine_rgm,latrine_wet_rgm
126,L79,latrine,wet,2023,2,2,L79_latrine,L79_latrine_wet,latrine_wet,rgm,latrine_rgm,latrine_wet_rgm
127,L70,control,wet,2023,1,2,L70_control,L70_control_wet,control_wet,rgm,control_rgm,control_wet_rgm
128,L70,control,wet,2023,2,2,L70_control,L70_control_wet,control_wet,rgm,control_rgm,control_wet_rgm
129,L70,latrine,wet,2023,1,2,L70_latrine,L70_latrine_wet,latrine_wet,rgm,latrine_rgm,latrine_wet_rgm
130,L70,latrine,wet,2023,2,2,L70_latrine,L70_latrine_wet,latrine_wet,rgm,latrine_rgm,latrine_wet_rgm
131,L100,control,wet,2023,1,2,L100_control,L100_control_wet,control_wet,lia,control_lia,control_wet_lia
132,L100,control,wet,2023,2,2,L100_control,L100_control_wet,control_wet,lia,control_lia,control_wet_lia
133,L100,latrine,wet,2023,1,2,L100_latrine,L100_latrine_wet,latrine_wet,lia,latrine_lia,latrine_wet_lia
134,L100,latrine,wet,2023,2,2,L100_latrine,L100_latrine_wet,latrine_wet,lia,latrine_lia,latrine_wet_lia
135,L58,control,wet,2023,1,2,L58_control,L58_control_wet,control_wet,rgm,control_rgm,control_wet_rgm
136,L58,control,wet,2023,2,2,L58_control,L58_control_wet,control_wet,rgm,control_rgm,control_wet_rgm
137,L58,latrine,wet,2023,1,2,L58_latrine,L58_latrine_wet,latrine_wet,rgm,latrine_rgm,latrine_wet_rgm
138,L58,latrine,wet,2023,2,2,L58_latrine,L58_latrine_wet,latrine_wet,rgm,latrine_rgm,latrine_wet_rgm
139,L112,control,wet,2023,1,2,L112_control,L112_control_wet,control_wet,rgm,control_rgm,control_wet_rgm
140,L112,control,wet,2023,2,2,L112_control,L112_control_wet,control_wet,rgm,control_rgm,control_wet_rgm
141,L112,latrine,wet,2023,1,2,L112_latrine,L112_latrine_wet,latrine_wet,rgm,latrine_rgm,latrine_wet_rgm
142,L112,latrine,wet,2023,2,2,L112_latrine,L112_latrine_wet,latrine_wet,rgm,latrine_rgm,latrine_wet_rgm
143,L77,control,wet,2023,1,2,L77_control,L77_control_wet,control_wet,rgm,control_rgm,control_wet_rgm
144,L77,control,wet,2023,2,2,L77_control,L77_control_wet,control_wet,rgm,control_rgm,control_wet_rgm
145,L77,latrine,wet,2023,1,2,L77_latrine,L77_latrine_wet,latrine_wet,rgm,latrine_rgm,latrine_wet_rgm
146,L77,latrine,wet,2023,2,2,L77_latrine,L77_latrine_wet,latrine_wet,rgm,latrine_rgm,latrine_wet_rgm
147,L75,control,wet,2023,1,2,L75_control,L75_control_wet,control_wet,rgm,control_rgm,control_wet_rgm
148,L75,control,wet,2023,2,2,L75_control,L75_control_wet,control_wet,rgm,control_rgm,control_wet_rgm
149,L75,latrine,wet,2023,1,2,L75_latrine,L75_latrine_wet,latrine_wet,rgm,latrine_rgm,latrine_wet_rgm
150,L75,latrine,wet,2023,2,2,L75_latrine,L75_latrine_wet,latrine_wet,rgm,latrine_rgm,latrine_wet_rgm
151,L81,control,wet,2023,1,2,L81_control,L81_control_wet,control_wet,rgm,control_rgm,control_wet_rgm
152,L81,control,wet,2023,2,2,L81_control,L81_control_wet,control_wet,rgm,control_rgm,control_wet_rgm
153,L81,latrine,wet,2023,1,2,L81_latrine,L81_latrine_wet,latrine_wet,rgm,latrine_rgm,latrine_wet_rgm
154,L81,latrine,wet,2023,2,2,L81_latrine,L81_latrine_wet,latrine_wet,rgm,latrine_rgm,latrine_wet_rgm
3B,L80 ,latrine,dry,2023,1,2,L80_latrine,L80_latrine_dry,latrine_dry,rgm,latrine_rgm,latrine_dry_rgm
4B,L80 ,latrine,dry,2023,2,2,L80_latrine,L80_latrine_dry,latrine_dry,rgm,latrine_rgm,latrine_dry_rgm
7B,L75,latrine,dry,2023,1,2,L75_latrine,L75_latrine_dry,latrine_dry,rgm,latrine_rgm,latrine_dry_rgm
8B,L75,latrine,dry,2023,2,2,L75_latrine,L75_latrine_dry,latrine_dry,rgm,latrine_rgm,latrine_dry_rgm
11B,L55,latrine,dry,2023,1,2,L55_latrine,L55_latrine_dry,latrine_dry,rgm,latrine_rgm,latrine_dry_rgm
12B,L55,latrine,dry,2023,2,2,L55_latrine,L55_latrine_dry,latrine_dry,rgm,latrine_rgm,latrine_dry_rgm
15B,L70,latrine,dry,2023,1,2,L70_latrine,L70_latrine_dry,latrine_dry,rgm,latrine_rgm,latrine_dry_rgm
16B,L70,latrine,dry,2023,2,2,L70_latrine,L70_latrine_dry,latrine_dry,rgm,latrine_rgm,latrine_dry_rgm
19B,L86,latrine,dry,2023,1,2,L86_latrine,L86_latrine_dry,latrine_dry,rgm,latrine_rgm,latrine_dry_rgm
20B,L86,latrine,dry,2023,2,2,L86_latrine,L86_latrine_dry,latrine_dry,rgm,latrine_rgm,latrine_dry_rgm
23B,L71,latrine,dry,2023,1,2,L71_latrine,L71_latrine_dry,latrine_dry,rgm,latrine_rgm,latrine_dry_rgm
24B,L71,latrine,dry,2023,2,2,L71_latrine,L71_latrine_dry,latrine_dry,rgm,latrine_rgm,latrine_dry_rgm
poscontB,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
negcontB,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
